timestamp,strike_price,yes_price,no_price
2025-01-01 13:00:00,86000,0.99,0.01
2025-01-01 13:01:00,86000,0.99,0.01
2025-01-01 13:02:00,86000,0.99,0.01
2025-01-01 13:03:00,86000,0.99,0.01
2025-01-01 13:04:00,86000,0.99,0.01
2025-01-01 13:05:00,86000,0.99,0.01
2025-01-01 13:06:00,86000,0.99,0.01
2025-01-01 13:07:00,86000,0.99,0.01
2025-01-01 13:08:00,86000,0.99,0.01
2025-01-01 13:09:00,86000,0.99,0.01
2025-01-01 13:10:00,86000,0.99,0.01
2025-01-01 13:11:00,86000,0.99,0.01
2025-01-01 13:12:00,86000,0.99,0.01
2025-01-01 13:13:00,86000,0.99,0.01
2025-01-01 13:14:00,86000,0.99,0.01
2025-01-01 13:15:00,86000,0.99,0.01
2025-01-01 13:16:00,86000,0.99,0.01
2025-01-01 13:17:00,86000,0.99,0.01
2025-01-01 13:18:00,86000,0.99,0.01
2025-01-01 13:19:00,86000,0.99,0.01
2025-01-01 13:20:00,86000,0.99,0.01
2025-01-01 13:21:00,86000,0.99,0.01
2025-01-01 13:22:00,86000,0.99,0.01
2025-01-01 13:23:00,86000,0.99,0.01
2025-01-01 13:24:00,86000,0.99,0.01
2025-01-01 13:25:00,86000,0.99,0.01
2025-01-01 13:26:00,86000,0.99,0.01
2025-01-01 13:27:00,86000,0.99,0.01
2025-01-01 13:28:00,86000,0.99,0.01
2025-01-01 13:29:00,86000,0.99,0.01
2025-01-01 13:30:00,86000,0.99,0.01
2025-01-01 13:31:00,86000,0.99,0.01
2025-01-01 13:32:00,86000,0.99,0.01
2025-01-01 13:33:00,86000,0.99,0.01
2025-01-01 13:34:00,86000,0.99,0.01
2025-01-01 13:35:00,86000,0.99,0.01
2025-01-01 13:36:00,86000,0.99,0.01
2025-01-01 13:37:00,86000,0.99,0.01
2025-01-01 13:38:00,86000,0.99,0.01
2025-01-01 13:39:00,86000,0.99,0.01
2025-01-01 13:40:00,86000,0.99,0.01
2025-01-01 13:41:00,86000,0.99,0.01
2025-01-01 13:42:00,86000,0.99,0.01
2025-01-01 13:43:00,86000,0.99,0.01
2025-01-01 13:44:00,86000,0.99,0.01
2025-01-01 13:45:00,86000,0.99,0.01
2025-01-01 13:46:00,86000,0.99,0.01
2025-01-01 13:47:00,86000,0.99,0.01
2025-01-01 13:48:00,86000,0.99,0.01
2025-01-01 13:49:00,86000,0.99,0.01
2025-01-01 13:50:00,86000,0.99,0.01
2025-01-01 13:51:00,86000,0.99,0.01
2025-01-01 13:52:00,86000,0.99,0.01
2025-01-01 13:53:00,86000,0.99,0.01
2025-01-01 13:54:00,86000,0.99,0.01
2025-01-01 13:55:00,86000,0.99,0.01
2025-01-01 13:56:00,86000,0.99,0.01
2025-01-01 13:57:00,86000,0.99,0.01
2025-01-01 13:58:00,86000,0.99,0.01
2025-01-01 13:59:00,86000,0.99,0.01
2025-01-01 13:00:00,86250,0.99,0.01
2025-01-01 13:01:00,86250,0.99,0.01
2025-01-01 13:02:00,86250,0.99,0.01
2025-01-01 13:03:00,86250,0.99,0.01
2025-01-01 13:04:00,86250,0.99,0.01
2025-01-01 13:05:00,86250,0.99,0.01
2025-01-01 13:06:00,86250,0.99,0.01
2025-01-01 13:07:00,86250,0.99,0.01
2025-01-01 13:08:00,86250,0.99,0.01
2025-01-01 13:09:00,86250,0.99,0.01
2025-01-01 13:10:00,86250,0.99,0.01
2025-01-01 13:11:00,86250,0.99,0.01
2025-01-01 13:12:00,86250,0.99,0.01
2025-01-01 13:13:00,86250,0.99,0.01
2025-01-01 13:14:00,86250,0.99,0.01
2025-01-01 13:15:00,86250,0.99,0.01
2025-01-01 13:16:00,86250,0.99,0.01
2025-01-01 13:17:00,86250,0.99,0.01
2025-01-01 13:18:00,86250,0.99,0.01
2025-01-01 13:19:00,86250,0.99,0.01
2025-01-01 13:20:00,86250,0.99,0.01
2025-01-01 13:21:00,86250,0.99,0.01
2025-01-01 13:22:00,86250,0.99,0.01
2025-01-01 13:23:00,86250,0.99,0.01
2025-01-01 13:24:00,86250,0.99,0.01
2025-01-01 13:25:00,86250,0.99,0.01
2025-01-01 13:26:00,86250,0.99,0.01
2025-01-01 13:27:00,86250,0.99,0.01
2025-01-01 13:28:00,86250,0.99,0.01
2025-01-01 13:29:00,86250,0.99,0.01
2025-01-01 13:30:00,86250,0.99,0.01
2025-01-01 13:31:00,86250,0.99,0.01
2025-01-01 13:32:00,86250,0.99,0.01
2025-01-01 13:33:00,86250,0.99,0.01
2025-01-01 13:34:00,86250,0.99,0.01
2025-01-01 13:35:00,86250,0.99,0.01
2025-01-01 13:36:00,86250,0.99,0.01
2025-01-01 13:37:00,86250,0.99,0.01
2025-01-01 13:38:00,86250,0.99,0.01
2025-01-01 13:39:00,86250,0.99,0.01
2025-01-01 13:40:00,86250,0.99,0.01
2025-01-01 13:41:00,86250,0.99,0.01
2025-01-01 13:42:00,86250,0.99,0.01
2025-01-01 13:43:00,86250,0.99,0.01
2025-01-01 13:44:00,86250,0.99,0.01
2025-01-01 13:45:00,86250,0.99,0.01
2025-01-01 13:46:00,86250,0.99,0.01
2025-01-01 13:47:00,86250,0.99,0.01
2025-01-01 13:48:00,86250,0.99,0.01
2025-01-01 13:49:00,86250,0.99,0.01
